Sector,Category,SubCategory,Action_ID,Action_Name,Action_Category,Priority,Description,Target_Date,Status,Estimated_Savings_Pct
Construction & Real Estate,Building Materials,Cement,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,10.7
Construction & Real Estate,Building Materials,Cement,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,3.3
Construction & Real Estate,Building Materials,Concrete,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,6.3
Construction & Real Estate,Building Materials,Concrete,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,5.7
Construction & Real Estate,Building Materials,Glass,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,11.8
Construction & Real Estate,Building Materials,Glass,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,11.1
Construction & Real Estate,Building Materials,Lumber,A001,Expand regional sourcing,Regional Concentration,CRITICAL,Identify suppliers in Africa to reduce geographic risk,2026-04-03,Pending,13.7
Construction & Real Estate,Building Materials,Lumber,A002,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-07-02,Pending,4.0
Construction & Real Estate,Building Materials,Lumber,A003,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-09-30,Pending,8.1
Construction & Real Estate,Building Materials,Structural Steel,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,3.4
Construction & Real Estate,Building Materials,Structural Steel,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,5.6
Construction & Real Estate,Construction Equipment,Heavy Equipment,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,9.1
Construction & Real Estate,Construction Equipment,Heavy Equipment,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,3.3
Construction & Real Estate,Construction Equipment,Power Tools,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,5.4
Construction & Real Estate,Construction Equipment,Power Tools,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,10.8
Construction & Real Estate,Construction Equipment,Scaffolding,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,9.5
Construction & Real Estate,Construction Equipment,Scaffolding,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,5.6
Construction & Real Estate,MEP Systems,Electrical Systems,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,10.1
Construction & Real Estate,MEP Systems,Electrical Systems,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,12.7
Construction & Real Estate,MEP Systems,HVAC Equipment,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,3.1
Construction & Real Estate,MEP Systems,HVAC Equipment,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,12.7
Construction & Real Estate,MEP Systems,Plumbing Systems,A001,Expand regional sourcing,Regional Concentration,CRITICAL,Identify suppliers in Europe to reduce geographic risk,2026-04-03,Pending,11.4
Construction & Real Estate,MEP Systems,Plumbing Systems,A002,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-07-02,Pending,7.1
Construction & Real Estate,MEP Systems,Plumbing Systems,A003,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-09-30,Pending,4.9
Energy & Utilities,Electricity,Backup Power,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,14.5
Energy & Utilities,Electricity,Backup Power,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,7.0
Energy & Utilities,Electricity,Grid Electricity,A001,Expand regional sourcing,Regional Concentration,CRITICAL,Identify suppliers in Middle East to reduce geographic risk,2026-04-03,Pending,4.1
Energy & Utilities,Electricity,Grid Electricity,A002,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-07-02,Pending,4.2
Energy & Utilities,Electricity,Grid Electricity,A003,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-09-30,Pending,13.2
Energy & Utilities,Electricity,Renewable Electricity,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,10.2
Energy & Utilities,Electricity,Renewable Electricity,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,12.7
Energy & Utilities,Fuels,Aviation Fuel,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,11.8
Energy & Utilities,Fuels,Aviation Fuel,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,9.4
Energy & Utilities,Fuels,Biofuels,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,14.7
Energy & Utilities,Fuels,Biofuels,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,7.5
Energy & Utilities,Fuels,Diesel,A001,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-04-03,Pending,9.6
Energy & Utilities,Fuels,Diesel,A002,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-07-02,Pending,13.0
Energy & Utilities,Fuels,Natural Gas,A001,Expand regional sourcing,Regional Concentration,CRITICAL,Identify suppliers in APAC to reduce geographic risk,2026-04-03,Pending,10.4
Energy & Utilities,Fuels,Natural Gas,A002,Negotiate volume discounts,Cost Optimization,MEDIUM,Leverage spend volume for 5-10% cost reduction,2026-07-02,Pending,13.3
Energy & Utilities,Fuels,Natural Gas,A003,Conduct supplier audit,Risk Mitigation,MEDIUM,Annual quality and compliance audit,2026-09-30,Pending,9.9
