Sector,Category,SubCategory,Metric,Calculated_Value,Calculation_Method,Data_Sources,Calculation_Date,Confidence_Level
Construction & Real Estate,Building Materials,Cement,Total_Spend_USD,18205600.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Cement,Number_of_Suppliers,6.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Cement,Number_of_Transactions,18.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Cement,Top_Region_Concentration_Pct,43.81,MAX(Region_Spend)/Total_Spend*100 [Americas],spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Cement,Top_Supplier_Concentration_Pct,27.9,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Cement,Top3_Supplier_Concentration_Pct,67.58,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Cement,Avg_Quality_Rating,4.47,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Building Materials,Cement,Avg_Delivery_Rating,4.24,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Building Materials,Cement,Regional_Risk_Score,52.6,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Cement,Supplier_Risk_Score,33.5,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Cement,Overall_Risk_Score,38.4,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Concrete,Total_Spend_USD,14236000.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Concrete,Number_of_Suppliers,7.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Concrete,Number_of_Transactions,15.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Concrete,Top_Region_Concentration_Pct,45.59,MAX(Region_Spend)/Total_Spend*100 [Americas],spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Concrete,Top_Supplier_Concentration_Pct,24.91,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Concrete,Top3_Supplier_Concentration_Pct,60.56,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Concrete,Avg_Quality_Rating,4.53,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Building Materials,Concrete,Avg_Delivery_Rating,4.25,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Building Materials,Concrete,Regional_Risk_Score,54.7,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Concrete,Supplier_Risk_Score,29.9,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Concrete,Overall_Risk_Score,37.8,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Glass,Total_Spend_USD,14154600.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Glass,Number_of_Suppliers,5.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Glass,Number_of_Transactions,14.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Glass,Top_Region_Concentration_Pct,54.3,MAX(Region_Spend)/Total_Spend*100 [Americas],spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Glass,Top_Supplier_Concentration_Pct,32.05,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Glass,Top3_Supplier_Concentration_Pct,86.36,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Glass,Avg_Quality_Rating,4.39,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Building Materials,Glass,Avg_Delivery_Rating,4.39,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Building Materials,Glass,Regional_Risk_Score,65.2,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Glass,Supplier_Risk_Score,38.5,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Glass,Overall_Risk_Score,45.5,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Lumber,Total_Spend_USD,20785600.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Lumber,Number_of_Suppliers,8.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Lumber,Number_of_Transactions,21.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
