Rule_ID,Rule_Name,Rule_Description,Threshold_Value,Comparison_Logic,Risk_Level,Action_Recommendation,Category
R001,Regional Concentration,If >40% of category spend is concentrated in a single region,40%,Spend_Region_Percentage > Threshold,High,Diversify suppliers across additional regions,Geographic Risk
R002,Tail Spend Fragmentation,If bottom 20% of spend is distributed across too many suppliers,10 suppliers per low spend bucket,Supplier_Count / Tail_Spend > Threshold,Medium,Consolidate tail suppliers or renegotiate contracts,Spend Optimization
R003,Single Supplier Dependency,If >60% of category spend is with a single supplier,60%,Single_Supplier_Percentage > Threshold,Critical,Immediately diversify to reduce dependency,Supply Chain Risk
R004,Contract Expiry Risk,If contracts expiring within 90 days exceed 30% of spend,30%,Expiring_Contract_Spend_Percentage > Threshold,High,Initiate renewal negotiations or find alternatives,Contract Management
R005,ESG Compliance Minimum,If supplier ESG score is below minimum threshold,60,Supplier_ESG_Score < Threshold,Medium,Replace with higher ESG suppliers or require improvement plan,Sustainability
R006,Price Volatility Alert,If price variance exceeds threshold in last 6 months,15%,Price_Variance_Percentage > Threshold,Medium,Lock in fixed pricing or hedge commodity risk,Cost Management
R007,Quality Rejection Rate,If quality rejection rate exceeds acceptable threshold,5%,Quality_Rejection_Rate > Threshold,High,Implement quality improvement plan or change supplier,Quality Assurance
R008,Delivery Performance,If on-time delivery rate falls below threshold,85%,On_Time_Delivery_Rate < Threshold,Medium,Penalize supplier or find more reliable alternative,Logistics
R009,Payment Terms Optimization,If average payment terms are less than industry benchmark,45 days,Average_Payment_Terms < Threshold,Low,Negotiate extended payment terms for better cash flow,Financial Management
R010,Supplier Financial Health,If supplier has debt-to-equity ratio above threshold,2.5,Supplier_Debt_Equity_Ratio > Threshold,High,Assess financial risk and consider backup suppliers,Financial Risk
R011,Capacity Utilization Risk,If supplier capacity utilization exceeds threshold,85%,Supplier_Capacity_Utilization > Threshold,Medium,Secure capacity commitments or identify backup suppliers,Supply Assurance
R012,Minimum Order Quantity Burden,If MOQ exceeds 6 months of forecasted demand,6 months,MOQ_Months_of_Demand > Threshold,Medium,Negotiate lower MOQ or find alternative suppliers,Inventory Management
R013,Lead Time Excessive,If lead time exceeds industry benchmark by threshold,30%,Lead_Time_Variance_Percentage > Threshold,Medium,Negotiate shorter lead times or find faster suppliers,Supply Chain Efficiency
R014,Currency Exposure Risk,If >50% of spend is in volatile foreign currency,50%,Foreign_Currency_Spend_Percentage > Threshold,Medium,Implement currency hedging or diversify currency exposure,Financial Risk
R015,Supplier Diversity Index,If spend with minority/diverse suppliers is below target,15%,Diverse_Supplier_Spend_Percentage < Threshold,Low,Increase diverse supplier participation,Corporate Social Responsibility
